name,origin,producer,variety
Las Flores,Honduras,Cesar Fernandez,"Pacas, Catuai"
Shamba,Burundi,Angele Ciza,Bourbon
Monserrate,Colombia,Co-op,"Caturra, Bourbon, Colombia"
Andino,Colombia,Andino Co-op,"Bourbon, Caturra, Typica"
Bulga,"Oromia, Ethiopia", Bulga Co-op,Heirloom
Qorema,"Oromia, Ethiopia",Qorema Co-op,Heirloom
Los Yuc,"Antigua, Guatemala",Familia Yuc,"Bourbon, Caturra"
Retana,"Antigua, Guatemala",Fernando Cofino,Yellow Bourbon
Santa Cruz,"Antigua, Guatemala",Maria Regina Ponce de Leal,Bourbon
Malacara B,"Santa Ana, El Salvador",Emma Alvarez,"Red Bourbon, Orange Bourbon, Yellow Bourbon"
